counterparty_id,name,sector,city,state,outstanding_usd,data_quality,lat,lon,hazard_bucket
IW-CP-001,Healthcare Holdings 001 LLC,Healthcare Facilities,Seattle,WA,40571442.36,clean,47.53354171712918,-122.3496578807393,flood
IW-CP-002,Datacenter Holdings 002 LLC,Datacenter / Tech RE,Boston,MA,16654267.76,clean,42.42327276024687,-71.05290038209746,coastal
IW-CP-003,Healthcare Holdings 003 LLC,Healthcare Facilities,Denver,CO,67050579.62,incomplete,39.81849603623771,-105.00677910346886,wildfire_hail
IW-CP-004,Datacenter Holdings 004 LLC,Datacenter / Tech RE,Chicago,IL,47100925.59,contradictory,41.8967940036879,-87.62082747392827,inland
IW-CP-005,City of Memphis Utility Authority 005,Municipal / Public,Memphis,TN,57041119.98,incomplete,35.079277591082175,-90.07752249345144,flood
IW-CP-006,Commercial Holdings 006 LLC,Commercial Real Estate,Los Angeles,CA,75355928.15,clean,34.065248266761685,-118.30769910545064,wildfire_quake
IW-CP-007,City of New Orleans Utility Authority 007,Municipal / Public,New Orleans,LA,71765945.67,incomplete,29.955478278125515,-90.07440437392738,high_flood
IW-CP-008,Logistics Holdings 008 LLC,Logistics,Houston,TX,40309726.15,contradictory,29.704908232586817,-95.3246895385244,high_flood
IW-CP-009,City of Minneapolis Utility Authority 009,Municipal / Public,Minneapolis,MN,36427563.79,contradictory,44.90448794537105,-93.28826494815415,inland
IW-CP-010,Datacenter Holdings 010 LLC,Datacenter / Tech RE,Norfolk,VA,36677807.91,incomplete,36.87982212135301,-76.30318266398777,flood
IW-CP-011,Energy Holdings 011 LLC,Energy Midstream,Kansas City,MO,33567506.08,clean,39.11194419488522,-94.65584673082344,tornado_flood
IW-CP-012,Manufacturing Holdings 012 LLC,Manufacturing,New York,NY,40740618.21,contradictory,40.73165747182378,-74.0860873793905,coastal
IW-CP-013,City of Kansas City Utility Authority 013,Municipal / Public,Kansas City,MO,16703228.79,clean,39.07268821016726,-94.61888845248971,tornado_flood
IW-CP-014,Agriculture Holdings 014 LLC,Agriculture,Sacramento,CA,24213289.48,clean,38.60324346291984,-121.43043900926774,wildfire_flood
