facility_id,name,role,city,country,criticality,revenue_at_risk_usd,hazard_bucket,data_quality,lat,lon
NW-FAC-001,Primary Assembly — Midwest,assembly,Chicago,US,medium,65602816.81,flood,incomplete,41.88,-87.63
NW-FAC-002,Injection Molding — Gulf,component,Houston,US,high,71226438.38,flood_hurricane,contradictory,29.76,-95.37
NW-FAC-003,Electronics Final Test,test,Austin,US,critical,138337159.53,heat_grid,incomplete,30.27,-97.74
NW-FAC-004,West Coast Distribution,dc,Los Angeles,US,high,82420804.38,wildfire,incomplete,34.05,-118.24
NW-FAC-005,East Coast Distribution,dc,Newark,US,critical,93499916.51,coastal_flood,clean,40.74,-74.17
NW-FAC-006,Specialty Metals Supplier A,supplier_t1,Pittsburgh,US,critical,139236225.28,flood,clean,40.44,-79.99
NW-FAC-007,Polymer Resin Supplier B,supplier_t1,Baton Rouge,US,high,88904240.88,flood_hurricane,clean,30.45,-91.19
NW-FAC-008,Battery Cells JV,supplier_t1,Reno,US,high,44709645.52,drought_wildfire,clean,39.53,-119.81
NW-FAC-009,Castings Vendor C,supplier_t1,Monterrey,MX,medium,92756234.06,heat_water,clean,25.69,-100.32
NW-FAC-010,Harness Assembly,supplier_t1,Guadalajara,MX,medium,109444410.23,heat,incomplete,20.66,-103.35
NW-FAC-011,PCB Fab Partner,supplier_t1,Shenzhen,CN,critical,29782189.29,flood_typhoon,incomplete,22.54,114.06
NW-FAC-012,Rare Earth Intermediate,supplier_t2,Baotou,CN,high,17254141.29,water_transition,incomplete,40.66,109.84
NW-FAC-013,Logistics Hub EU,dc,Rotterdam,NL,critical,27326728.2,flood_slr,contradictory,51.92,4.48
NW-FAC-014,Tooling Shop,component,Stuttgart,DE,critical,108822153.86,flood_heat,clean,48.78,9.18
NW-FAC-015,Packaging Plant,component,Memphis,US,high,12282481.41,flood,contradictory,35.15,-90.05
NW-FAC-016,Battery Cells JV Node 16,supplier_t1,Reno,US,high,82258125.55,drought_wildfire,incomplete,39.6280280977887,-119.7991598775653
NW-FAC-017,PCB Fab Partner Node 17,supplier_t1,Shenzhen,CN,medium,95621744.93,flood_typhoon,contradictory,22.51542764907587,113.99730071894342
NW-FAC-018,Battery Cells JV Node 18,supplier_t1,Reno,US,medium,7774449.42,drought_wildfire,incomplete,39.47461619821906,-119.79843021105229
NW-FAC-019,East Coast Distribution Node 19,dc,Newark,US,high,75396216.43,coastal_flood,incomplete,40.64480441184793,-74.14579110321745
NW-FAC-020,Logistics Hub EU Node 20,dc,Rotterdam,NL,high,102494914.85,flood_slr,clean,51.99005163184397,4.447303587784908
NW-FAC-021,Packaging Plant Node 21,component,Memphis,US,medium,71302995.14,flood,incomplete,35.19494588181434,-90.07539658005321
NW-FAC-022,Electronics Final Test Node 22,test,Austin,US,high,71786760.34,heat_grid,incomplete,30.350995634532882,-97.75494141534648
NW-FAC-023,East Coast Distribution Node 23,dc,Newark,US,medium,36246284.65,coastal_flood,clean,40.74887452237818,-74.20785228634686
NW-FAC-024,Electronics Final Test Node 24,test,Austin,US,high,92375630.62,heat_grid,clean,30.18900948234846,-97.66614455743327
NW-FAC-025,Primary Assembly — Midwest Node 25,assembly,Chicago,US,critical,24207750.36,flood,incomplete,41.93276894460194,-87.66926359348082
NW-FAC-026,Polymer Resin Supplier B Node 26,supplier_t1,Baton Rouge,US,low,63068240.21,flood_hurricane,incomplete,30.54756325300505,-91.27948422863122
NW-FAC-027,Rare Earth Intermediate Node 27,supplier_t2,Baotou,CN,medium,39743430.14,water_transition,incomplete,40.70895419340577,109.81282714471863
NW-FAC-028,Logistics Hub EU Node 28,dc,Rotterdam,NL,high,19670921.38,flood_slr,clean,51.89902612066391,4.495242657226151
NW-FAC-029,Logistics Hub EU Node 29,dc,Rotterdam,NL,high,30241229.29,flood_slr,contradictory,51.84340755358913,4.4253518663396685
NW-FAC-030,Polymer Resin Supplier B Node 30,supplier_t1,Baton Rouge,US,high,16519985.88,flood_hurricane,incomplete,30.537192989307094,-91.16186658515717
