facility_id,name,element_type,city,eis_alternative,mw_nameplate,water_mgy,hazard_bucket,data_quality,lat,lon
DC-ELM-001,Primary Campus Pad A,building_pad,Abilene,Alt A — Midland,303.8,264.6,heat_drought_grid,incomplete,32.45,-99.73
DC-ELM-002,Primary Campus Pad B,building_pad,Abilene,Alt B — Temple,288.2,121.8,heat_grid,incomplete,32.46,-99.72
DC-ELM-003,Alt Site — Midland Spur,building_pad,Midland,Alt A — Midland,275.0,749.9,heat_drought,clean,31.99,-102.08
DC-ELM-004,Alt Site — Temple Corridor,building_pad,Temple,Alt B — Temple,99.0,278.3,heat_flood,incomplete,31.1,-97.34
DC-ELM-005,Water Supply Option — Municipal,water,Abilene,Alt B — Temple,0.0,363.1,drought,contradictory,32.45,-99.75
DC-ELM-006,Water Supply Option — Aquifer,water,Abilene,Alt A — Midland,0.0,864.8,drought,clean,32.4,-99.8
DC-ELM-007,Reclaimed Water Lateral,water,Abilene,Proposed Action,0.0,282.4,drought_heat,incomplete,32.48,-99.7
DC-ELM-008,230kV Interconnect Point,power,Abilene,Proposed Action,167.2,0.0,grid_heat,clean,32.5,-99.68
DC-ELM-009,Backup Gas Generation Parcel,power,Abilene,Alt A — Midland,108.5,0.0,heat,incomplete,32.44,-99.71
DC-ELM-010,Fiber Hut East,telecom,Abilene,Proposed Action,0.0,0.0,heat,contradictory,32.47,-99.69
DC-ELM-011,Construction Staging Yard,construction,Abilene,Alt A — Midland,0.0,0.0,heat_flood,incomplete,32.43,-99.74
DC-ELM-012,Community Receptor — School,receptor,Abilene,Alt B — Temple,0.0,0.0,heat,contradictory,32.45,-99.76
DC-ELM-013,Community Receptor — Neighborhood,receptor,Abilene,Proposed Action,0.0,0.0,heat,incomplete,32.46,-99.77
DC-ELM-014,Wetland / Playa Buffer,environment,Abilene,Alt B — Temple,0.0,0.0,flood_drought,incomplete,32.42,-99.78
DC-ELM-015,Transmission Corridor Segment 1,transmission,Taylor County,No Action,0.0,0.0,heat_grid,incomplete,32.55,-99.6
DC-ELM-016,Transmission Corridor Segment 2,transmission,Taylor County,Alt B — Temple,0.0,0.0,heat,contradictory,32.6,-99.55
DC-ELM-017,Alt Site — Temple Corridor Variant 17,building_pad,Temple,Alt B — Temple,57.7,119.3,heat_flood,incomplete,31.089029762381863,-97.3621839229607
DC-ELM-018,Water Supply Option — Aquifer Variant 18,water,Abilene,Alt A — Midland,0.0,234.9,drought,clean,32.428535797914925,-99.72283685199788
DC-ELM-019,Alt Site — Midland Spur Variant 19,building_pad,Midland,Alt A — Midland,246.8,715.1,heat_drought,incomplete,32.068929126862756,-102.0013889564038
DC-ELM-020,Community Receptor — Neighborhood Variant 20,receptor,Abilene,No Action,0.0,0.0,heat,contradictory,32.47073661095302,-99.70187261638297
DC-ELM-021,Water Supply Option — Aquifer Variant 21,water,Abilene,No Action,0.0,164.1,drought,clean,32.462411135504965,-99.85417649158632
DC-ELM-022,Reclaimed Water Lateral Variant 22,water,Abilene,No Action,0.0,326.5,drought_heat,clean,32.54362917998684,-99.66605915415235
DC-ELM-023,Alt Site — Midland Spur Variant 23,building_pad,Midland,Alt A — Midland,57.1,620.3,heat_drought,incomplete,31.936855571614867,-102.045580813083
DC-ELM-024,Wetland / Playa Buffer Variant 24,environment,Abilene,Alt B — Temple,0.0,0.0,flood_drought,incomplete,32.34839512112105,-99.74152017760589
DC-ELM-025,Backup Gas Generation Parcel Variant 25,power,Abilene,No Action,108.6,0.0,heat,clean,32.439025949103964,-99.73449665453326
DC-ELM-026,Primary Campus Pad B Variant 26,building_pad,Abilene,Alt A — Midland,232.6,529.3,heat_grid,clean,32.42480518971971,-99.7484421598356
DC-ELM-027,Community Receptor — Neighborhood Variant 27,receptor,Abilene,Alt A — Midland,0.0,0.0,heat,clean,32.38661754741134,-99.71416870991749
DC-ELM-028,Transmission Corridor Segment 1 Variant 28,transmission,Taylor County,Alt B — Temple,0.0,0.0,heat_grid,incomplete,32.57446616585912,-99.60037807172309
DC-ELM-029,Transmission Corridor Segment 1 Variant 29,transmission,Taylor County,No Action,0.0,0.0,heat_grid,incomplete,32.5074310319412,-99.66492083654256
