county_fips,county_name,state,flood_score,wildfire_score,heat_score,hurricane_score,source,version
48201,Harris,TX,9.2,2.1,8.0,6.5,firm_sample_grid,v1
12086,Miami-Dade,FL,8.8,1.0,7.5,9.5,firm_sample_grid,v1
22071,Orleans,LA,9.5,1.2,7.8,8.8,firm_sample_grid,v1
12057,Hillsborough,FL,7.5,1.5,7.2,8.5,firm_sample_grid,v1
45019,Charleston,SC,7.8,2.0,6.5,8.0,firm_sample_grid,v1
51710,Norfolk city,VA,8.0,1.0,5.5,4.0,firm_sample_grid,v1
36061,New York,NY,6.5,0.5,5.0,3.5,firm_sample_grid,v1
25025,Suffolk,MA,5.5,0.8,4.5,3.0,firm_sample_grid,v1
17031,Cook,IL,6.0,1.0,6.0,0.5,firm_sample_grid,v1
48113,Dallas,TX,4.5,2.5,8.5,1.0,firm_sample_grid,v1
04013,Maricopa,AZ,3.0,6.5,9.5,0.2,firm_sample_grid,v1
08031,Denver,CO,3.5,7.0,6.0,0.2,firm_sample_grid,v1
06067,Sacramento,CA,7.0,8.0,7.5,0.3,firm_sample_grid,v1
06037,Los Angeles,CA,4.0,8.5,7.0,0.5,firm_sample_grid,v1
53033,King,WA,5.5,6.0,3.5,0.2,firm_sample_grid,v1
13121,Fulton,GA,4.5,2.0,7.0,1.5,firm_sample_grid,v1
47157,Shelby,TN,7.5,1.5,7.0,1.0,firm_sample_grid,v1
29095,Jackson,MO,6.5,2.0,7.0,0.5,firm_sample_grid,v1
27053,Hennepin,MN,4.0,1.5,5.0,0.2,firm_sample_grid,v1
41051,Multnomah,OR,5.0,7.5,4.0,0.2,firm_sample_grid,v1
12087,Monroe,FL,8.5,0.5,7.0,9.8,firm_sample_grid,v1
51107,Loudoun,VA,3.5,1.5,5.5,1.0,firm_sample_grid,v1
06085,Santa Clara,CA,3.0,5.5,5.0,0.3,firm_sample_grid,v1
48453,Travis,TX,4.0,3.5,8.0,1.0,firm_sample_grid,v1
34013,Essex,NJ,6.0,0.8,5.0,3.0,firm_sample_grid,v1
42003,Allegheny,PA,5.5,1.0,5.0,0.3,firm_sample_grid,v1
22033,East Baton Rouge,LA,8.5,1.5,8.0,7.5,firm_sample_grid,v1
32031,Washoe,NV,3.0,7.5,7.0,0.2,firm_sample_grid,v1
XXMTY,Monterrey-sim,MX,3.5,1.0,8.5,0.5,firm_sample_grid,v1
XXGDL,Guadalajara-sim,MX,3.0,1.0,8.0,0.5,firm_sample_grid,v1
XXSZX,Shenzhen-sim,CN,7.5,0.5,7.0,6.0,firm_sample_grid,v1
XXBTO,Baotou-sim,CN,2.5,1.0,6.5,0.2,firm_sample_grid,v1
XXRTM,Rotterdam-sim,NL,8.0,0.5,4.0,1.0,firm_sample_grid,v1
XXSTR,Stuttgart-sim,DE,5.5,0.5,6.0,0.3,firm_sample_grid,v1
